df_author_name,df_author_url
['Anthony Bailey'],['https://pureportal.coventry.ac.uk/en/persons/anthony-bailey']
['Elizabeth Bailey'],['https://pureportal.coventry.ac.uk/en/persons/elizabeth-bailey']
['Katrin Bain'],['https://pureportal.coventry.ac.uk/en/persons/katrin-bain']
['Narinder Bains'],['https://pureportal.coventry.ac.uk/en/persons/narinder-bains']
['Adam Baird'],['https://pureportal.coventry.ac.uk/en/persons/adam-baird']
['Stuart Baird'],['https://pureportal.coventry.ac.uk/en/persons/stuart-baird']
['Hannah Baker'],['https://pureportal.coventry.ac.uk/en/persons/hannah-baker']
['Ali Alperen Bakir'],['https://pureportal.coventry.ac.uk/en/persons/ali-alperen-bakir']
['Senthooran Balasubramaniam'],['https://pureportal.coventry.ac.uk/en/persons/senthooran-balasubramaniam']
['Ken Baldwin'],['https://pureportal.coventry.ac.uk/en/persons/ken-baldwin']
['Laurence Baldwin'],['https://pureportal.coventry.ac.uk/en/persons/laurence-baldwin']
['Lindsay Balfour'],['https://pureportal.coventry.ac.uk/en/persons/lindsay-balfour']
['Jane Ball'],['https://pureportal.coventry.ac.uk/en/persons/jane-ball']
['Kirstie Ball'],['https://pureportal.coventry.ac.uk/en/persons/kirstie-ball-2']
['Brandon Ballard'],['https://pureportal.coventry.ac.uk/en/persons/brandon-ballard']
['Daniel Babalola Bammeke'],['https://pureportal.coventry.ac.uk/en/persons/daniel-babalola-bammeke']
['Mahsa Baniasadi'],['https://pureportal.coventry.ac.uk/en/persons/mahsa-baniasadi-2']
['Frano Barbic'],['https://pureportal.coventry.ac.uk/en/persons/frano-barbic']
['Vicky Barclay'],['https://pureportal.coventry.ac.uk/en/persons/vicky-barclay-2']
['Victoria Barker'],['https://pureportal.coventry.ac.uk/en/persons/victoria-barker-2']
['Jennifer Barnes-Hill'],['https://pureportal.coventry.ac.uk/en/persons/jennifer-barnes-hill']
['Kate Barnett-Richards'],['https://pureportal.coventry.ac.uk/en/persons/kate-barnett-richards-2']
['Hazel Barrett'],['https://pureportal.coventry.ac.uk/en/persons/hazel-barrett']
['Lorraine Barron'],['https://pureportal.coventry.ac.uk/en/persons/lorraine-barron']
['Craig Bartle'],['https://pureportal.coventry.ac.uk/en/persons/craig-bartle']
['James Bartlett'],['https://pureportal.coventry.ac.uk/en/persons/james-bartlett']
['Bahar Baser Ozturk'],['https://pureportal.coventry.ac.uk/en/persons/bahar-baser-ozturk']
['Mahdi Bashiri'],['https://pureportal.coventry.ac.uk/en/persons/mahdi-bashiri']
['Simran Basi'],['https://pureportal.coventry.ac.uk/en/persons/simran-basi']
['Muhammad Lahandi Baskoro'],['https://pureportal.coventry.ac.uk/en/persons/muhammad-lahandi-baskoro']
['Tom Bason'],['https://pureportal.coventry.ac.uk/en/persons/tom-bason']
['Tina Bass'],['https://pureportal.coventry.ac.uk/en/persons/tina-bass']
['Enobong Bassey'],['https://pureportal.coventry.ac.uk/en/persons/enobong-bassey']
['Christophe Bastien'],['https://pureportal.coventry.ac.uk/en/persons/christophe-bastien']
['Richard Bateman'],['https://pureportal.coventry.ac.uk/en/persons/richard-bateman']
['Ian Bates'],['https://pureportal.coventry.ac.uk/en/persons/ian-bates']
['Felix Batsch'],['https://pureportal.coventry.ac.uk/en/persons/felix-batsch']
['Jhonny Ismael Bautista Quispe'],['https://pureportal.coventry.ac.uk/en/persons/jhonny-ismael-bautista-quispe']
['Balki Begumhan Bayhan'],['https://pureportal.coventry.ac.uk/en/persons/balki-begumhan-bayhan']
['Imogen Baylis'],['https://pureportal.coventry.ac.uk/en/persons/imogen-baylis']
['Lisa Bayliss-Pratt'],['https://pureportal.coventry.ac.uk/en/persons/lisa-bayliss-pratt']
['Amr Bayoumy'],['https://pureportal.coventry.ac.uk/en/persons/amr-bayoumy']
['Marcus Beale'],['https://pureportal.coventry.ac.uk/en/persons/marcus-beale']
['David Beauchamp'],['https://pureportal.coventry.ac.uk/en/persons/david-beauchamp']
['Jayne Beaufoy'],['https://pureportal.coventry.ac.uk/en/persons/jayne-beaufoy-2']
['Martin Beck'],['https://pureportal.coventry.ac.uk/en/persons/martin-beck']
['Rebecca Beech'],['https://pureportal.coventry.ac.uk/en/persons/rebecca-beech-3']
['Nik Beer'],['https://pureportal.coventry.ac.uk/en/persons/nik-beer']
['Ty Beetseh'],['https://pureportal.coventry.ac.uk/en/persons/ty-beetseh']
['Jason Begley'],['https://pureportal.coventry.ac.uk/en/persons/jason-begley']
['David Bek'],['https://pureportal.coventry.ac.uk/en/persons/david-bek']
['Fatima Zohra Souad Belalem'],['https://pureportal.coventry.ac.uk/en/persons/fatima-zohra-belalem']
['Renato Belindro Belindro'],['https://pureportal.coventry.ac.uk/en/persons/renato-belindro-belindro']
['Lauren Bell'],['https://pureportal.coventry.ac.uk/en/persons/lauren-bell']
